省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1337975,,,1779945,1809765,1813914,1899965,,1919955,1932675,1999925
新疆,电信,1337976,,,1779946,1809766,1813915,1899966,,1919956,1932676,1999926
新疆,电信,1337977,,,1779947,1809767,1813916,1899967,,1919957,1932677,1999927
新疆,电信,1337978,,,1779948,1809768,1813917,1899968,,1919958,1932678,1999928
新疆,电信,1337979,,,1779949,1809769,1813918,1899969,,1919959,1932679,1999929
新疆,电信,1339490,,,1779950,1809770,1813919,1899970,,1919970,1932680,1999940
新疆,电信,1339491,,,1779951,1809771,1813920,1899971,,1919971,1932681,1999941
新疆,电信,1339492,,,1779952,1809772,1813921,1899972,,1919972,1932682,1999942
新疆,电信,1339493,,,1779953,1809773,1813922,1899973,,1919973,1932683,1999943
新疆,电信,1339494,,,1779954,1809774,1813923,1899974,,1919974,1932684,1999944
新疆,电信,1339495,,,1779955,1809775,1813924,1899975,,1919975,1932685,1999945
新疆,电信,1339496,,,1779956,1809776,1813925,1899976,,1919976,1932686,1999946
新疆,电信,1339497,,,1779957,1809777,1813926,1899977,,1919977,1932687,1999947
新疆,电信,1339498,,,1779958,1809778,1813927,1899978,,1919978,1932688,1999948
新疆,电信,1339499,,,1779959,1809779,1813928,1899979,,1919979,1932689,1999949
新疆,电信,1339900,,,1779960,1809780,1813929,1899980,,,1932690,1999950
新疆,电信,1339901,,,1779961,1809781,1813930,1899981,,,1932691,1999951
新疆,电信,1339902,,,1779962,1809782,1813931,1899982,,,1932692,1999952
新疆,电信,1339903,,,1779963,1809783,1813932,1899983,,,1932693,1999953
新疆,电信,1339904,,,1779964,1809784,1813933,1899984,,,1932694,1999954
新疆,电信,1339905,,,1779965,1809785,1813934,1899985,,,1932695,1999955
新疆,电信,1339906,,,1779966,1809786,1813935,1899986,,,1932696,1999956
新疆,电信,1339907,,,1779967,1809787,1813936,1899987,,,1932697,1999957
新疆,电信,1339908,,,1779968,1809788,1813937,1899988,,,1932698,1999958
新疆,电信,1339909,,,1779969,1809789,1813938,1899989,,,1932699,1999959
新疆,电信,1339970,,,1779970,1809790,1813939,1899990,,,1932850,1999970
新疆,电信,1339971,,,1779971,1809791,1813940,1899991,,,1932851,1999971
新疆,电信,1339972,,,1779972,1809792,1813941,1899992,,,1932852,1999972
新疆,电信,1339973,,,1779973,1809793,1813942,1899993,,,1932853,1999973
新疆,电信,1339974,,,1779974,1809794,1813943,1899994,,,1932854,1999974
新疆,电信,1339975,,,1779975,1809795,1813944,1899995,,,1932855,1999975
新疆,电信,1339976,,,1779976,1809796,1813945,1899996,,,1932856,1999976
新疆,电信,1339977,,,1779977,1809797,1813946,1899997,,,1932857,1999977
新疆,电信,1339978,,,1779978,1809798,1813947,1899998,,,1932858,1999978
新疆,电信,1339979,,,1779979,1809799,1813948,1899999,,,1932859,1999979
新疆,电信,1339990,,,1779990,1809900,1813949,,,,1932860,
新疆,电信,1339991,,,1779991,1809901,1813950,,,,1932861,
新疆,电信,1339992,,,1779992,1809902,1813951,,,,1932862,
新疆,电信,1339993,,,1779993,1809903,1813952,,,,1932863,
新疆,电信,1339994,,,1779994,1809904,1813953,,,,1932864,
新疆,电信,1339995,,,1779995,1809905,1813954,,,,1932865,
