省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
甘肃,移动,,,,,1388418,1399308,1479347,1509720,1512050,1529350,,,,,,1789940,1829320,1839400,1841940,1879350,1889410,1959303,,1989376
甘肃,移动,,,,,1388419,1399309,1479348,1509721,1512051,1529351,,,,,,1789941,1829321,1839401,1841941,1879351,1889411,1959304,,1989377
甘肃,移动,,,,,1388420,1399310,1479349,1509722,1512052,1529352,,,,,,1789942,1829322,1839402,1841942,1879352,1889412,1959305,,1989378
甘肃,移动,,,,,1388421,1399311,1479350,1509723,1512053,1529353,,,,,,1789943,1829323,1839403,1841943,1879353,1889413,1959306,,1989379
甘肃,移动,,,,,1388422,1399312,1479351,1509724,1512054,1529354,,,,,,1789944,1829324,1839404,1841944,1879354,1889414,1959307,,1989380
甘肃,移动,,,,,1388423,1399313,1479352,1509725,1512055,1529355,,,,,,1789945,1829325,1839405,1841945,1879355,1889415,1959308,,1989381
甘肃,移动,,,,,1388424,1399314,1479353,1509726,1512056,1529356,,,,,,1789946,1829326,1839406,1841946,1879356,1889416,1959309,,1989382
甘肃,移动,,,,,1388425,1399315,1479354,1509727,1512057,1529357,,,,,,1789947,1829327,1839407,1841947,1879357,1889417,1959310,,1989383
甘肃,移动,,,,,1388426,1399316,1479355,1509728,1512058,1529358,,,,,,1789948,1829328,1839408,1841948,1879358,1889418,1959311,,1989384
甘肃,移动,,,,,1388427,1399317,1479356,1509729,1512059,1529359,,,,,,1789949,1829329,1839409,1841949,1879359,1889419,1959312,,1989385
甘肃,移动,,,,,1388428,1399318,1479357,,1519300,1529360,,,,,,,1829330,1839410,1841950,1879360,1889420,1959313,,1989386
甘肃,移动,,,,,1388429,1399319,1479358,,1519301,1529361,,,,,,,1829331,1839411,1841951,1879361,1889421,1959314,,1989387
甘肃,移动,,,,,1388450,1399320,1479359,,1519302,1529362,,,,,,,1829332,1839412,1841952,1879362,1889422,1959315,,1989388
甘肃,移动,,,,,1388451,1399321,1479360,,1519303,1529363,,,,,,,1829333,1839413,1841953,1879363,1889423,1959316,,1989389
甘肃,移动,,,,,1388452,1399322,1479361,,1519304,1529364,,,,,,,1829334,1839414,1841954,1879364,1889424,1959317,,1989390
甘肃,移动,,,,,1388453,1399323,1479362,,1519305,1529365,,,,,,,1829335,1839415,1841955,1879365,1889425,1959318,,1989391
甘肃,移动,,,,,1388454,1399324,1479363,,1519306,1529366,,,,,,,1829336,1839416,1841956,1879366,1889426,1959319,,1989392
甘肃,移动,,,,,1388455,1399325,1479364,,1519307,1529367,,,,,,,1829337,1839417,1841957,1879367,1889427,1959330,,1989393
甘肃,移动,,,,,1388456,1399326,1479365,,1519308,1529368,,,,,,,1829338,1839418,1841958,1879368,1889428,1959331,,1989394
甘肃,移动,,,,,1388457,1399327,1479366,,1519309,1529369,,,,,,,1829339,1839419,1841959,1879369,1889429,1959332,,1989395
甘肃,移动,,,,,1388458,1399328,1479367,,1519310,1529370,,,,,,,1829340,1839420,1841960,1879370,1889430,1959333,,1989396
甘肃,移动,,,,,1388459,1399329,1479368,,1519311,1529371,,,,,,,1829341,1839421,1841961,1879371,1889431,1959334,,1989397
甘肃,移动,,,,,1389300,1399330,1479369,,1519312,1529372,,,,,,,1829342,1839422,1841962,1879372,1889432,1959335,,1989398
甘肃,移动,,,,,1389301,1399331,1479370,,1519313,1529373,,,,,,,1829343,1839423,1841963,1879373,1889433,1959336,,1989399
甘肃,移动,,,,,1389302,1399332,1479371,,1519314,1529374,,,,,,,1829344,1839424,1841964,1879374,1889434,1959337,,1989400
甘肃,移动,,,,,1389303,1399333,1479372,,1519315,1529375,,,,,,,1829345,1839425,1841965,1879375,1889435,1959338,,1989401
甘肃,移动,,,,,1389304,1399334,1479373,,1519316,1529376,,,,,,,1829346,1839426,1841966,1879376,1889436,1959339,,1989402
甘肃,移动,,,,,1389305,1399335,1479374,,1519317,1529377,,,,,,,1829347,1839427,1841967,1879377,1889437,,,1989403
甘肃,移动,,,,,1389306,1399336,1479375,,1519318,1529378,,,,,,,1829348,1839428,1841968,1879378,1889438,,,1989404
甘肃,移动,,,,,1389307,1399337,1479376,,1519319,1529379,,,,,,,1829349,1839429,1841969,1879379,1889439,,,1989405
甘肃,移动,,,,,1389308,1399338,1479377,,1519320,1529380,,,,,,,1829350,1839430,1841970,1879380,1889440,,,1989406
