省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,,,,,,,,,,,,1858477,,
重庆,联通,,,,,,,,,,,,1858478,,
重庆,联通,,,,,,,,,,,,1858479,,
重庆,联通,,,,,,,,,,,,1858970,,
重庆,联通,,,,,,,,,,,,1858971,,
重庆,联通,,,,,,,,,,,,1858972,,
重庆,联通,,,,,,,,,,,,1858973,,
重庆,联通,,,,,,,,,,,,1858974,,
重庆,联通,,,,,,,,,,,,1858975,,
重庆,联通,,,,,,,,,,,,1858976,,
重庆,联通,,,,,,,,,,,,1858977,,
重庆,联通,,,,,,,,,,,,1858978,,
重庆,联通,,,,,,,,,,,,1858979,,
重庆,联通,,,,,,,,,,,,1859470,,
重庆,联通,,,,,,,,,,,,1859471,,
重庆,联通,,,,,,,,,,,,1859472,,
重庆,联通,,,,,,,,,,,,1859473,,
重庆,联通,,,,,,,,,,,,1859474,,
重庆,联通,,,,,,,,,,,,1859475,,
重庆,联通,,,,,,,,,,,,1859476,,
重庆,联通,,,,,,,,,,,,1859477,,
重庆,联通,,,,,,,,,,,,1859478,,
重庆,联通,,,,,,,,,,,,1859479,,
重庆,联通,,,,,,,,,,,,1859480,,
重庆,联通,,,,,,,,,,,,1859481,,
重庆,联通,,,,,,,,,,,,1859482,,
重庆,联通,,,,,,,,,,,,1859483,,
重庆,联通,,,,,,,,,,,,1859484,,
重庆,联通,,,,,,,,,,,,1859485,,
重庆,联通,,,,,,,,,,,,1859486,,
重庆,联通,,,,,,,,,,,,1859487,,
重庆,联通,,,,,,,,,,,,1859488,,
重庆,联通,,,,,,,,,,,,1859489,,
重庆,联通,,,,,,,,,,,,1859730,,
重庆,联通,,,,,,,,,,,,1859731,,
重庆,联通,,,,,,,,,,,,1859732,,
重庆,联通,,,,,,,,,,,,1859733,,
重庆,联通,,,,,,,,,,,,1859734,,
重庆,联通,,,,,,,,,,,,1859735,,
重庆,联通,,,,,,,,,,,,1859736,,
重庆,联通,,,,,,,,,,,,1859737,,
重庆,联通,,,,,,,,,,,,1859738,,
重庆,联通,,,,,,,,,,,,1859739,,
重庆,联通,,,,,,,,,,,,1859830,,
重庆,联通,,,,,,,,,,,,1859831,,
重庆,联通,,,,,,,,,,,,1859832,,
重庆,联通,,,,,,,,,,,,1859833,,
重庆,联通,,,,,,,,,,,,1859834,,
重庆,联通,,,,,,,,,,,,1859835,,
重庆,联通,,,,,,,,,,,,1859836,,
重庆,联通,,,,,,,,,,,,1859837,,
重庆,联通,,,,,,,,,,,,1859838,,
重庆,联通,,,,,,,,,,,,1859839,,
重庆,联通,,,,,,,,,,,,1859840,,
重庆,联通,,,,,,,,,,,,1859841,,
重庆,联通,,,,,,,,,,,,1859842,,
重庆,联通,,,,,,,,,,,,1859843,,
重庆,联通,,,,,,,,,,,,1859844,,
重庆,联通,,,,,,,,,,,,1859845,,
重庆,联通,,,,,,,,,,,,1859846,,
重庆,联通,,,,,,,,,,,,1859847,,
重庆,联通,,,,,,,,,,,,1859848,,
重庆,联通,,,,,,,,,,,,1859849,,
重庆,联通,,,,,,,,,,,,1859850,,
重庆,联通,,,,,,,,,,,,1859851,,
重庆,联通,,,,,,,,,,,,1859852,,
重庆,联通,,,,,,,,,,,,1859853,,
重庆,联通,,,,,,,,,,,,1859854,,
重庆,联通,,,,,,,,,,,,1859855,,
重庆,联通,,,,,,,,,,,,1859856,,
重庆,联通,,,,,,,,,,,,1859857,,
重庆,联通,,,,,,,,,,,,1859858,,
重庆,联通,,,,,,,,,,,,1859859,,
重庆,联通,,,,,,,,,,,,1859860,,
重庆,联通,,,,,,,,,,,,1859861,,
重庆,联通,,,,,,,,,,,,1859862,,
重庆,联通,,,,,,,,,,,,1859863,,
重庆,联通,,,,,,,,,,,,1859864,,
重庆,联通,,,,,,,,,,,,1859865,,
重庆,联通,,,,,,,,,,,,1859866,,
重庆,联通,,,,,,,,,,,,1859867,,
重庆,联通,,,,,,,,,,,,1859868,,
